ddate,crime_group,count,domestic_count,arrest_count,domestic_rate,arrest_rate,avg_dist,avg_max_dist,avg_cm_area,avg_total_area,avg_cm_len,total_cm_len,avg_pct_housing,avg_pct_below_pvty,avg_pct_unemployed,avg_pct_without_hsd,avg_pct_dependents,avg_per_capita_income,avg_hardship_index
2023-09-14,ASLT,245,67,47,0.27346938775510204,0.19183673469387755,2.317367235445275,26.50138441879774,89.83002514439325,769.4128692038779,44.95661899304194,391.97354316387185,0.05309795918367346,0.25602857142857144,0.1763020408163265,0.20917551020408162,0.3492408163265306,24603.85714285714,55.02857142857143
2023-09-14,THFT,247,4,14,0.016194331983805668,0.05668016194331984,2.100565020056612,26.16938634535468,88.67164573847863,729.6096594120255,45.51347725067331,383.2651400192729,0.04393927125506072,0.22042105263157893,0.14508502024291497,0.1663076923076923,0.3169433198380567,33811.5991902834,41.611336032388664
2023-09-15,ASLT,325,87,74,0.2676923076923077,0.2276923076923077,2.2044936114427958,26.17049591913746,91.12813518401,769.0290791664323,45.42487195729139,391.2356759410901,0.05755692307692306,0.2524,0.1716276923076923,0.22095384615384617,0.35282153846153846,24948.689230769232,56.28
2023-09-15,THFT,298,11,16,0.03691275167785235,0.053691275167785234,2.2848493950948874,25.99312107622794,87.74751758938902,757.2386035915004,45.426764119832605,396.98348813482414,0.04890268456375838,0.21070134228187917,0.13551342281879192,0.17947986577181207,0.3123590604026846,34558.221476510065,41.053691275167786
2023-09-16,ASLT,329,91,67,0.2765957446808511,0.20364741641337386,2.1548149286863536,25.750385900633155,91.32385136717895,764.9648757984878,45.371171039160274,388.3679488335544,0.060887537993920965,0.23859878419452887,0.16290273556231002,0.234434650455927,0.34283282674772037,25098.662613981764,55.361702127659576
2023-09-16,THFT,269,4,19,0.01486988847583643,0.07063197026022305,2.3290452567415314,26.15904297924942,89.60582145326141,770.330763745545,45.38150961487432,394.7852562412974,0.04866914498141263,0.22949814126394052,0.15205947955390334,0.1841078066914498,0.3285910780669145,31128.416356877322,45.940520446096656
2023-09-17,ASLT,347,118,71,0.3400576368876081,0.20461095100864554,2.292675517535902,26.448654093914094,92.82379678485408,808.9250305723783,46.179891974064795,410.91776346877435,0.0540864553314121,0.24220749279538903,0.16414697406340056,0.2158386167146974,0.3496887608069164,26550.221902017292,54.014409221902014
2023-09-17,THFT,269,17,16,0.06319702602230483,0.05947955390334572,2.0752593703250524,26.50698780049504,87.70254815910694,733.6667745318755,44.94633998581604,380.38762602230406,0.04854275092936802,0.21958736059479553,0.14202973977695166,0.18141263940520444,0.32168401486988846,32183.126394052044,43.90706319702602
2023-09-18,ASLT,276,85,53,0.3079710144927536,0.19202898550724637,2.268809926605043,26.337556611850317,94.47383729487336,778.7277503593381,45.954745408195,389.5492005006163,0.05464855072463766,0.2623188405797101,0.18643840579710144,0.21735869565217392,0.3641630434782609,23265.507246376812,58.93478260869565
2023-09-18,THFT,246,10,21,0.04065040650406504,0.08536585365853659,2.2396030865938754,26.937947811433236,87.39542435331754,749.3494081401097,45.04973519399222,389.97361549364877,0.0432560975609756,0.21450406504065042,0.1473130081300813,0.1719349593495935,0.32193089430894306,32125.82113821138,42.548780487804876
